,Activity Type,Date,Title,Distance,Calories,Time taken,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Time,Temp,Shoes
1098,Treadmill Running,2022-02-13 0:00:00,Santurce - Running,6.143,465.531,43.376,90.812,165.28,165.849,132.026,7.061,6.307,16.354,222.927,0.071,3.08,6.532,2022-02-13 20:11:00,33.53,Craft Pro Endur Distance
1099,Treadmill Running,2023-07-09 0:00:00,Cherry Hill Running,8.241,243.308,56.066,89.845,169.135,130.471,142.478,6.804,6.097,741.276,234.88,0.301,0.713,8.452,2023-07-09 9:54:00,10.49,Hoka Mach 5
1100,Cardio,2022-08-21 0:00:00,Ocean City Running,9.793,604.115,68.469,125.893,168.821,162.352,193.937,6.992,6.607,226.168,59.477,1.44,0.275,9.997,2022-08-21 20:45:00,7.96,Nike Pegasus 40
1101,Running,2021-07-04 0:00:00,Boca Raton - Running,6.342,833.134,46.813,181.208,163.303,129.574,202.512,7.381,6.579,85.338,930.423,1.143,5.347,6.806,2021-07-04 5:05:00,4.48,Altra Paradigm 6
1102,Cardio,2021-02-07 0:00:00,Logan Running,9.186,399.95,63.258,117.862,169.324,197.882,215.024,6.886,6.099,427.811,595.239,0.757,6.217,9.378,2021-02-07 10:27:00,31.6,Adidas Ultra Boost 20
1103,Cardio,2023-02-10 0:00:00,Anne Arundel County Running,17.193,820.503,118.972,149.89,176.389,157.871,222.79,6.92,6.58,34.893,955.519,0.645,0.301,17.008,2023-02-10 10:20:00,34.2,Craft Pro Endur Distance
1104,Running,2023-08-18 0:00:00,Haddon Running,16.392,296.887,110.633,105.851,178.584,114.31,213.587,6.749,6.145,699.825,267.782,1.821,1.788,16.13,2023-08-18 6:42:00,10.04,Hoka Mach 5
1105,Running,2021-08-01 0:00:00,East Buffalo Running,14.502,531.42,99.397,150.322,174.905,174.543,147.957,6.854,6.514,733.563,916.386,1.487,5.213,14.408,2021-08-01 21:23:00,9.54,Altra Paradigm 6
1106,Running,2021-07-24 0:00:00,East Buffalo Running,14.377,698.054,99.524,117.51,173.751,153.045,238.014,6.922,6.025,531.06,12.744,0.536,8.657,14.331,2021-07-24 17:43:00,7.63,Brooks Ghost 14
1107,Treadmill Running,2022-10-17 0:00:00,Richmond Running,7.875,932.737,57.586,118.551,164.54,166.954,241.015,7.312,6.714,671.986,918.956,0.131,1.303,8.271,2022-10-17 11:49:00,13.7,Hoka Mach 5
1108,Treadmill Running,2021-11-18 0:00:00,Boca Raton - Running,15.574,952.73,108.952,127.809,173.65,149.127,200.812,6.996,6.403,505.389,506.004,0.731,3.902,15.516,2021-11-18 16:25:00,23.03,Craft Pro Endur Distance
1109,Cardio,2023-05-17 0:00:00,Chicago Running,5.327,293.503,36.958,87.249,165.339,191.204,141.926,6.938,6.005,981.673,553.376,1.207,0.048,5.724,2023-05-17 11:51:00,14.27,Nike Pegasus 40
1110,Running,2023-09-02 0:00:00,Pennsauken Running,4.799,652.933,35.504,119.639,162.539,162.946,243.541,7.398,6.625,165.582,290.178,0,8.169,5.312,2023-09-02 19:39:00,16.25,Craft Pro Endur Distance
1111,Cardio,2022-03-01 0:00:00,Exeter Running,6.795,136.057,45.829,174.728,168.049,159.404,153.396,6.744,5.754,433.154,622.889,0.56,5.795,7.067,2022-03-01 20:47:00,18.11,Brooks Ghost 14
1112,Running,2023-09-30 0:00:00,Rye Running,8.129,102.562,54.516,114.915,169.85,163.14,137.522,6.706,5.809,833.33,294.216,0.225,0.111,8.314,2023-09-30 12:56:00,20.66,Brooks Ghost 15
1113,Running,2021-01-01 0:00:00,Annapolis Running,11.445,969.797,81.563,153.296,168.597,184.525,221.345,7.127,6.599,86.017,802.261,1.719,4.266,11.637,2021-01-01 4:56:00,25.19,Adidas Ultra Boost 20
1114,Cardio,2023-04-03 0:00:00,Santurce Running,9.4,398.503,64.672,92.671,169.589,185.005,204.587,6.88,6.442,839.244,799.661,1.454,1.987,9.579,2023-04-03 11:22:00,17.55,Hoka Mach 5
1115,Treadmill Running,2023-01-21 0:00:00,Voorhees Running,1.433,483.815,12.131,172.885,159.524,125.626,230.822,8.463,8.158,553.202,854.444,0.399,4.617,2.107,2023-01-21 16:14:00,32.69,Brooks Ghost 15
1116,Running,2023-01-20 0:00:00,Boulder County Running,8.172,680.541,58.115,61.832,166.416,185.551,164.544,7.112,6.708,560.024,727.027,0.216,7.671,8.49,2023-01-20 8:03:00,32.44,Craft Pro Endur Distance
1117,Running,2022-05-30 0:00:00,Chester Running,11.607,342.384,79.041,145.555,172.573,154.198,192.466,6.81,5.817,608.112,246.297,0.543,3.199,11.641,2022-05-30 15:54:00,18.37,Brooks Launch 9/GTS 9
1118,Running,2022-01-28 0:00:00,Haverford Running,12.385,677.566,86.145,163.595,171.486,180.992,167.957,6.956,6.495,369.759,403.101,0.903,3.567,12.452,2022-01-28 14:22:00,28.37,Brooks Ghost 14
1119,Running,2022-03-27 0:00:00,Cardio,17.405,911.335,120.903,155.29,176.095,177.271,175.61,6.946,6.738,311.929,766.8,0.159,3.06,17.228,2022-03-27 18:59:00,15.18,Nike Alphafly Next% 2
1120,Cardio,2023-06-14 0:00:00,Philadelphia - Running,17.497,151.161,117.152,101.666,180.788,182.772,164.078,6.696,5.697,770.583,416.269,0.937,1.625,17.135,2023-06-14 7:24:00,4.1,Craft Pro Endur Distance
